Percentage,theta_1,theta_2,EE_X,EE_Y,tau_1,tau_2,force_X,force_Y
0.0,0.7056237771652141,2.52912674299138,-0.10348436666666677,0.24517985000000003,0.0007858993438021763,-0.00013160891612762959,0.0,0.003205399398858333
0.3584229390681004,0.7060958207286605,2.5294501134144225,-0.10358641875000012,0.24498881562500005,0.003131377720030094,-0.0005292616727041718,0.0,0.012781717043047536
0.7168458781362008,0.7063790468667283,2.529644135668248,-0.10364765000000013,0.24487419500000004,0.007020330645303375,-0.001193132792006791,0.0,0.028669132103949835
1.0752688172043012,0.7067566817174853,2.529902832006682,-0.1037292916666668,0.2447213675000001,0.012433760108530709,-0.0021286921259642435,0.0,0.05080782375299009
1.4336917562724016,0.7071343165682424,2.5301615283451158,-0.10381093333333347,0.24456854000000008,0.019354658065547717,-0.0033377758470282378,0.0,0.07913797116157184
1.792114695340502,0.7075119514189996,2.53042022468355,-0.10389257500000015,0.24441571250000008,0.027765564691795402,-0.00482305083180725,0.0,0.11359975350109863
2.1505376344086025,0.7083341551870859,2.5298188380085684,-0.10411958000000013,0.24459402000000008,0.037700095678618754,-0.006559069146582189,0.0,0.154133349942974
2.508960573476703,0.7091563589551722,2.529217451333587,-0.10434658500000009,0.24477232750000005,0.04912065114046969,-0.008559358968630634,0.0,0.2006789396586086
2.8673835125448033,0.7099785627232584,2.5286160646586047,-0.10457359000000006,0.24495063500000006,0.0620157938778657,-0.010823053328865363,0.0,0.2531767018193918
3.225806451612904,0.7108007664913447,2.5280146779836232,-0.10480059500000002,0.2451289425,0.07637404402532341,-0.013349244778734982,0.0,0.31156681559674837
3.584229390681004,0.711622970259431,2.527413291308642,-0.1050276,0.24530725000000003,0.09218387905134313,-0.016136985753772305,0.0,0.3757894601620748
3.9426523297491043,0.7125304911585287,2.526981046557448,-0.105269222,0.24540124400000005,0.10939614808044391,-0.01923619910061808,0.0,0.44578481468677467
4.301075268817205,0.7134380120576265,2.5265488018062543,-0.10551084399999999,0.24549523800000003,0.12802406247308248,-0.022612233205536247,0.0,0.5214930583422657
4.6594982078853056,0.7143455329567242,2.5261165570550608,-0.10575246599999999,0.24558923200000007,0.14805454180980682,-0.026265955519664753,0.0,0.6028543702999443
5.017921146953406,0.7152530538558219,2.525684312303867,-0.10599408799999999,0.24568322600000006,0.16947448317997016,-0.03019816685759789,0.0,0.6898089297312069
5.376344086021506,0.7161605747549198,2.525252067552673,-0.10623570999999998,0.24577722000000007,0.19227076118173267,-0.03440960173313662,0.0,0.7822969158074642
5.734767025089607,0.7176454397412396,2.5245963606936863,-0.10663057399999998,0.24590592400000003,0.21646078169486072,-0.03904120690362577,0.0,0.8802585077001268
6.093189964157707,0.7191303047275592,2.523940653834699,-0.10702543799999997,0.246034628,0.24200799688098595,-0.04398548083194995,0.0,0.9836338845806125
6.451612903225808,0.720615169713879,2.523284946975712,-0.10742030199999997,0.24616333199999998,0.26889977137296184,-0.049245265944932885,0.0,1.0923632256203035
6.810035842293908,0.7221000347001987,2.5226292401167254,-0.10781516599999996,0.24629203599999996,0.2971234390069272,-0.05482327736565167,0.0,1.2063867099906034
7.168458781362008,0.7235848996865184,2.5219735332577384,-0.10821002999999996,0.24642073999999992,0.3266663028223108,-0.06072210380900429,0.0,1.3256445168629511
7.526881720430109,0.7249499920301515,2.520736634446333,-0.10860459399999996,0.24681465399999994,0.3579002099366685,-0.06650746915945294,0.0,1.4500768254087077
7.885304659498209,0.7263150843737849,2.519499735634928,-0.10899915799999997,0.24720856799999996,0.3904965412352352,-0.0725402023942823,0.0,1.5796238147993122
8.24372759856631,0.7276801767174179,2.518262836823523,-0.109393722,0.247602482,0.42444652916554415,-0.07881790459541682,0.0,1.714225664206161
8.60215053763441,0.7290452690610513,2.517025938012117,-0.10978828599999998,0.24799639600000006,0.45974131191808065,-0.08533812459316636,0.0,1.8538225528006507
8.96057347670251,0.7304103614046844,2.5157890392007123,-0.11018285,0.2483903100000001,0.49637193342629016,-0.09209836012802033,0.0,1.9983546597541988
9.318996415770611,0.7321380700784302,2.514299705235215,-0.11068302000000001,0.24885151600000005,0.5344738705781162,-0.09921829493937591,0.0,2.1477621642381948
9.67741935483871,0.733865778752176,2.512810371269718,-0.11118319000000003,0.24931272200000004,0.5739142075405128,-0.10658869975488224,0.0,2.3019852454240706
10.035842293906812,0.7355934874259217,2.5113210373042207,-0.11168336000000004,0.24977392799999998,0.6146846655487455,-0.11420735068556999,0.0,2.4609640824832013
10.394265232974913,0.7373211960996674,2.509831703338724,-0.11218353000000003,0.25023513399999997,0.6567768554791876,-0.12207194396846352,0.0,2.624638854587012
10.752688172043012,0.7390489047734132,2.5083423693732265,-0.11268370000000005,0.2506963399999999,0.7001822778493075,-0.13018009782800277,0.0,2.7929497409068986
11.111111111111112,0.7404863554013815,2.5074567069758174,-0.11308669200000002,0.2509215859999999,0.7441925039378894,-0.13896467756181866,0.0,2.9658369206142723
11.469534050179213,0.7419238060293497,2.5065710445784086,-0.11348968399999997,0.251146832,0.7894149120928116,-0.148042356267969,0.0,3.1432405728805364
11.827956989247314,0.743361256657318,2.5056853821809995,-0.11389267599999993,0.251372078,0.835837516980217,-0.15741288854272137,0.0,3.3251008768770944
12.186379928315414,0.7447987072852862,2.5047997197835903,-0.11429566799999988,0.251597324,0.8834482793686403,-0.16707593763061318,0.0,3.511358011775357
12.544802867383515,0.7462361579132544,2.5039140573861816,-0.11469865999999984,0.25182257,0.9322351061290022,-0.17703107642543597,0.0,3.701952156746721
