GYRO Sensor 0 X,GYRO Sensor 0 Y,GYRO Sensor 0 Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-8.045801162719727,11.389312744140625,-0.8244274854660034
-8.16030502319336,11.053435325622559,-1.0839694738388062
-7.954198360443115,11.19847297668457,-0.7938931584358215
-8.236640930175781,11.190839767456055,-1.2137404680252075
-8.038167953491211,11.183206558227539,-0.9160305261611938
-8.190839767456055,11.366412162780762,-1.1755725145339966
-8.12977123260498,11.22137451171875,-0.9389312863349915
-8.259541511535645,11.053435325622559,-0.9618320465087891
-8.106870651245117,11.389312744140625,-0.7862595319747925
-7.839694499969482,11.351144790649414,-1.0916030406951904
-8.038167953491211,11.366412162780762,-0.8625954389572144
-8.083969116210938,11.404580116271973,-0.9083969593048096
-8.16030502319336,11.312976837158203,-0.6641221642494202
-8.030534744262695,11.114503860473633,-0.8320610523223877
-8.061068534851074,11.152671813964844,-0.8549618124961853
-7.778625965118408,11.068702697753906,-0.8396946787834167
-8.175572395324707,11.045801162719727,-1.14503812789917
-8.015267372131348,11.351144790649414,-1.229007601737976
-8.022900581359863,11.213740348815918,-1.0
-8.114503860473633,11.061068534851074,-1.2977099418640137
-8.0,10.938931465148926,-0.885496199131012
-8.167939186096191,11.030534744262695,-1.0687023401260376
-8.083969116210938,11.564885139465332,-1.0992366075515747
-7.809160232543945,11.106870651245117,-1.122137427330017
-8.030534744262695,11.335877418518066,-1.305343508720398
-7.916030406951904,10.954198837280273,-1.2977099418640137
-8.038167953491211,10.854961395263672,-0.9465649127960205
-8.022900581359863,11.244275093078613,-0.7786259651184082
-7.740458011627197,11.083969116210938,-1.122137427330017
-8.076335906982422,11.076335906982422,-1.1374045610427856
-8.16030502319336,11.305343627929688,-1.2366411685943604
-8.183206558227539,11.114503860473633,-0.9083969593048096
-8.068702697753906,11.099236488342285,-1.2442748546600342
-7.740458011627197,11.206107139587402,-0.8549618124961853
-8.137404441833496,11.007633209228516,-0.8702290058135986
-8.175572395324707,11.274808883666992,-0.8549618124961853
-8.190839767456055,11.190839767456055,-0.9312977194786072
-8.038167953491211,11.5496187210083,-0.9389312863349915
-8.068702697753906,11.19847297668457,-0.9083969593048096
-8.167939186096191,10.938931465148926,-1.122137427330017
-8.083969116210938,10.992366790771484,-1.2213740348815918
-8.045801162719727,10.885496139526367,-1.2519084215164185
-7.786259651184082,10.946564674377441,-1.3740458488464355
-7.954198360443115,11.458015441894531,-0.9007633328437805
-8.007633209228516,11.274808883666992,-0.8549618124961853
-8.053435325622559,11.229007720947266,-0.9465649127960205
-7.992366313934326,11.427480697631836,-1.0305343866348267
-7.809160232543945,11.206107139587402,-1.122137427330017
-8.175572395324707,11.473282814025879,-0.9618320465087891
-8.137404441833496,11.312976837158203,-1.0305343866348267
-7.526717662811279,11.625954627990723,-0.9465649127960205
-6.381679534912109,12.099236488342285,-0.8549618124961853
-5.679389476776123,13.32824420928955,-0.694656491279602
-4.687022686004639,13.465648651123047,-0.9312977194786072
-3.8778626918792725,14.09160327911377,-0.9847328066825867
-3.7633588314056396,14.083969116210938,-1.1297709941864014
-3.9083969593048096,14.282443046569824,-0.9465649127960205
-3.2977099418640137,14.557251930236816,-1.2519084215164185
-3.3816792964935303,14.244275093078613,-0.9694656729698181
-4.847328186035156,13.229007720947266,-1.7022900581359863
-5.923664093017578,12.572519302368164,-2.572519063949585
-6.618320465087891,11.763359069824219,-3.7633588314056396
-7.213740348815918,11.702290534973145,-5.732824325561523
-7.358778476715088,11.061068534851074,-7.549618244171143
-7.786259651184082,11.061068534851074,-8.992366790771484
-8.5496187210083,10.931297302246094,-9.694656372070312
-8.458015441894531,10.557251930236816,-9.893129348754883
-8.961832046508789,10.916030883789062,-9.5496187210083
-8.366412162780762,10.969465255737305,-8.5496187210083
-7.7633585929870605,11.404580116271973,-7.14503812789917
-6.358778476715088,12.251908302307129,-4.885496139526367
-5.633587837219238,12.67175579071045,-4.43511438369751
-5.259541988372803,12.946564674377441,-3.7633588314056396
-5.358778476715088,12.984732627868652,-3.786259651184082
-5.473282337188721,12.77862548828125,-4.190839767456055
-5.786259651184082,12.687023162841797,-4.083969593048096
-5.931297779083252,12.664122581481934,-4.503816604614258
-6.114503860473633,12.83969497680664,-5.045801639556885
-6.366412162780762,12.641221046447754,-5.572519302368164
-6.603053569793701,12.77862548828125,-5.030534267425537
-6.557251930236816,12.412213325500488,-4.488549709320068
-8.068702697753906,11.534351348876953,-2.419847249984741
-8.053435325622559,11.4503812789917,-1.7480915784835815
-8.519083976745605,11.404580116271973,-1.3435114622116089
-8.358778953552246,11.152671813964844,-1.412213683128357
-8.587786674499512,11.251908302307129,-0.9160305261611938
-8.61832046508789,10.931297302246094,-0.7633587718009949
-8.832060813903809,10.847328186035156,0.21374045312404633
-8.717556953430176,10.679388999938965,0.9465649127960205
-9.068702697753906,10.526717185974121,1.7099236249923706
-9.351144790649414,10.664122581481934,2.458015203475952
-9.320611000061035,10.22137451171875,2.6870229244232178
-10.5496187210083,9.251908302307129,3.4122138023376465
-11.061068534851074,9.022900581359863,3.068702220916748
-11.404580116271973,8.961832046508789,3.030534267425537
-11.664122581481934,9.030534744262695,3.396946668624878
-11.755724906921387,8.946564674377441,3.7633588314056396
-11.267175674438477,8.961832046508789,3.717557191848755
-12.22137451171875,8.748091697692871,3.717557191848755
-11.946564674377441,8.404580116271973,3.3740458488464355
-11.969465255737305,8.267175674438477,3.5496182441711426
-12.099236488342285,8.503816604614258,3.6641221046447754
-11.335877418518066,8.702290534973145,3.8396947383880615
-11.58015251159668,8.961832046508789,5.335877895355225
-11.267175674438477,8.732824325561523,6.038167953491211
-11.229007720947266,8.740458488464355,7.732824325561523
-11.335877418518066,8.931297302246094,9.145038604736328
-11.305343627929688,9.068702697753906,9.725191116333008
-11.335877418518066,9.122137069702148,10.137404441833496
-9.083969116210938,11.122137069702148,10.083969116210938
-7.816793918609619,11.435114860534668,11.641221046447754
-7.85496187210083,11.404580116271973,13.137404441833496
-7.923664093017578,11.51145076751709,13.519083976745605
-8.389312744140625,10.854961395263672,12.320611000061035
-8.687023162841797,10.847328186035156,11.664122581481934
-7.633587837219238,10.763359069824219,13.557251930236816
-7.7633585929870605,11.70992374420166,13.931297302246094
-7.259541988372803,11.412213325500488,13.748091697692871
-7.572519302368164,11.70992374420166,12.366412162780762
-7.618320465087891,11.175572395324707,11.076335906982422
-7.816793918609619,11.175572395324707,9.145038604736328
-8.007633209228516,11.572519302368164,8.534351348876953
-7.259541988372803,11.19847297668457,8.48854923248291
-7.229007720947266,11.534351348876953,9.045801162719727
