x, y
0.14236226450908746, 7.5627925705944525
3.8200540976605137, 7.416821865404942
6.368338632373179, 9.15336990990084
11.844540407156076, 13.51487391151155
17.03443584998181, 16.804248250868273
22.395166010218446, 20.54663512357175
25.7881333143517, 23.53400110736397
29.472152359259084, 30.646297880908037
33.15775320710546, 35.56400060401671
36.599756402347396, 33.696582272109524
38.38086651164998, 36.56062817737957
39.992723706480646, 41.619268133085015
43.81435960708015, 44.37006090501837
43.81435960708015, 44.37006090501837
48.72743953558266, 47.546182111038405
54.28114965437606, 50.09311924296572
59.626061785222795, 50.143453968893134
64.76059412518389, 49.71560879851009
67.54614910074503, 48.44969044143554
70.2652683528686, 50.73237026224392
75.63707113367816, 49.42870086072381
80.86492984703966, 45.06216338652036
85.97257153703792, 41.307192832335026
91.41713725304102, 38.58660089595812
96.67979563106029, 36.975889666280764
99.9857637735491, 36.72169930034731
