x, y
0.14048491,2.757321034
6.233425938,2.244042748
11.84492992,2.544074983
17.15178684,3.553274319
22.54546029,4.170696025
28.53422149,10.84579335
33.171802,14.71397753
38.36185124,14.93962161
43.98124763,14.86027424
48.88243465,13.63534925
54.46552595,13.81140122
59.56244475,14.67678346
64.8850865,13.12455057
70.06566486,13.55104267
75.73872964,12.81212031
80.80881424,10.51352625
86.15197626,8.346351261
91.46988256,6.362667063
96.53996717,5.189813782
100,4.845148652
