x, y
-0.4931198046306298, 2.5980514614039474
5.925264954053758, 3.0027479390457157
11.08658557585435, 6.032975268548589
16.35592291676451, 8.643517361978516
21.68005134707807, 12.153384961279041
24.284976283285587, 23.235073694728953
25.927143505690445, 36.38021483887085
26.999483398299912, 48.43367474394205
28.727750904052975, 61.01673744691482
30.019255154276053, 72.24331751186611
31.528358302415505, 82.59305520859355
33.720001878551635, 88.52360729452911
37.60234192770707, 83.39245565825631
40.68160115217834, 74.78141393954535
42.83723915527795, 72.8878341244067
48.3288717731962, 68.7859105670747
51.32985801280546, 60.679490382213345
53.6623929616932, 58.02148388708469
56.78705051738443, 56.89233075193605
59.38101723571127, 52.39320509617787
62.64969708354859, 46.427679240569574
66.5821318430157, 44.326754933799656
69.9165609981371, 39.07819135648264
74.91037743233301, 33.87959030726955
80.16249471657352, 27.561828628528605
85.67291285085865, 22.49313015238571
91.347704253354, 16.40269797651761
96.53720314970491, 12.840369722707969
99.77300834390019, 11.05171121658756
