x, y
0.01747113292355585, 3.461404469218136
6.221311605597116, 3.8570646493803813
11.940725210844809, 6.260886876026477
17.129651689140896, 7.661872293833674
22.65529454741824, 14.089483899865625
27.289909626594238, 40.94709600358334
25.495147789901683, 26.82775095804509
28.892489001127682, 53.62315234161151
30.375947014818696, 63.377793261334794
32.0849414717047, 70.79828796098144
33.29362621305252, 74.37913701289007
38.43649243182287, 73.2916936246454
44.06537380283032, 68.91952421241228
49.04305840123251, 62.051460707709154
54.710058607709534, 56.678942915443194
59.7655691618621, 50.48026675956801
65.1911500770318, 44.97835066938735
70.49919791617032, 38.70999850694272
75.7707152046505, 35.932911959388846
81.36624259462207, 29.701886229034987
86.69970299074029, 23.913800826158365
91.69485872206603, 20.327974916637636
97.17444132081765, 15.776638630368785
100.10800336716379, 14.519982083312597
