ACC Sensor 0 X,ACC Sensor 0 Y,ACC Sensor 0 Z,ACC Sensor 1 X,ACC Sensor 1 Y,ACC Sensor 1 Z
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.000244140625,-0.0029296875,0.943115234375,,0.0,
-0.000244140625,0.00048828125,0.946044921875,,0.0,
-0.002685546875,0.0009765625,0.945068359375,,0.0,
-0.00244140625,0.00390625,0.94873046875,,0.0,
-0.001708984375,0.00439453125,0.95361328125,,0.0,
0.001953125,0.000244140625,0.946533203125,,0.0,
-0.003173828125,0.001953125,0.945556640625,,0.0,
-0.00244140625,0.00341796875,0.946044921875,,0.0,
-0.00048828125,-0.004150390625,0.947265625,,0.0,
0.00048828125,-0.00048828125,0.943359375,,0.0,
-0.0029296875,-0.000244140625,0.94580078125,,0.0,
-0.00146484375,0.00341796875,0.943359375,,0.0,
-0.00146484375,0.00341796875,0.94921875,,0.0,
0.00341796875,-0.002685546875,0.945068359375,,0.0,
-0.0009765625,0.004150390625,0.939453125,,0.0,
-0.004150390625,0.001220703125,0.94189453125,,0.0,
0.002685546875,0.0009765625,0.946533203125,,0.0,
-0.0009765625,0.00341796875,0.943603515625,,0.0,
-0.00048828125,0.00048828125,0.9462890625,,0.0,
0.00146484375,0.00732421875,0.946533203125,,0.0,
0.002685546875,0.00390625,0.942138671875,,0.0,
-0.000244140625,0.00244140625,0.94189453125,,0.0,
0.000244140625,0.004638671875,0.946533203125,,0.0,
0.0,0.001708984375,0.938720703125,,0.0,
0.00390625,0.005126953125,0.946044921875,,0.0,
-0.004150390625,-0.00146484375,0.9404296875,,0.0,
-0.00244140625,0.005615234375,0.944091796875,,0.0,
0.00146484375,0.001220703125,0.94677734375,,0.0,
0.00048828125,0.00341796875,0.940673828125,,0.0,
-0.0029296875,0.001220703125,0.94287109375,,0.0,
-0.004150390625,0.003173828125,0.943359375,,0.0,
-0.003173828125,0.000732421875,0.947509765625,,0.0,
-0.00146484375,0.0048828125,0.9423828125,,0.0,
0.000244140625,-0.003662109375,0.939453125,,0.0,
-0.001953125,-0.00390625,0.9501953125,,0.0,
-0.007568359375,0.002685546875,0.940185546875,,0.0,
-0.005859375,0.005859375,0.94482421875,,0.0,
-0.00439453125,0.00390625,0.942626953125,,0.0,
0.0029296875,0.00048828125,0.94287109375,,0.0,
-0.001220703125,0.001220703125,0.9404296875,,0.0,
0.000244140625,0.001953125,0.938720703125,,0.0,
0.00048828125,0.005859375,0.9482421875,,0.0,
0.001220703125,0.003173828125,0.946044921875,,0.0,
0.000244140625,0.004150390625,0.94384765625,,0.0,
-0.0068359375,0.005615234375,0.940673828125,,0.0,
0.003173828125,0.00341796875,0.947509765625,,0.0,
-0.00341796875,0.00244140625,0.9462890625,,0.0,
-0.007080078125,0.00439453125,0.945068359375,,0.0,
-0.001708984375,0.005859375,0.945068359375,,0.0,
0.000244140625,0.00390625,0.9462890625,,0.0,
-0.000732421875,-0.001220703125,0.947265625,,0.0,
0.00244140625,0.001708984375,0.943115234375,,0.0,
0.001708984375,0.005615234375,0.9423828125,,0.0,
-0.00439453125,0.0048828125,0.939697265625,,0.0,
-0.003662109375,0.002685546875,0.9423828125,,0.0,
0.002685546875,-0.000244140625,0.941162109375,,0.0,
-0.000732421875,0.006103515625,0.936767578125,,0.0,
-0.0009765625,-0.00244140625,0.937255859375,,0.0,
-0.001708984375,-0.003662109375,0.94091796875,,0.0,
-0.00048828125,0.00244140625,0.9453125,,0.0,
0.00439453125,0.00439453125,0.9423828125,,0.0,
-0.001953125,-0.0048828125,0.941162109375,,0.0,
-0.00439453125,0.002685546875,0.943115234375,,0.0,
0.00341796875,0.00390625,0.94140625,,0.0,
-0.002685546875,0.003662109375,0.9482421875,,0.0,
-0.004150390625,-0.001220703125,0.946044921875,,0.0,
-0.0078125,0.001953125,0.946533203125,,0.0,
-0.00048828125,0.0048828125,0.940673828125,,0.0,
-0.0068359375,0.007080078125,0.943603515625,,0.0,
0.00341796875,0.0029296875,0.951904296875,,0.0,
-0.0009765625,0.006591796875,0.94482421875,,0.0,
-0.00537109375,0.000732421875,0.944091796875,,0.0,
0.000732421875,0.004638671875,0.9423828125,,0.0,
-0.0068359375,0.00341796875,0.94482421875,,0.0,
-0.004638671875,0.006103515625,0.94384765625,,0.0,
0.000244140625,0.00634765625,0.944580078125,,0.0,
-0.001953125,0.005859375,0.9501953125,,0.0,
-0.00341796875,0.00927734375,0.939453125,,0.0,
0.0,0.000732421875,0.944580078125,,0.0,
-0.00244140625,0.000732421875,0.9443359375,,0.0,
0.006103515625,0.003662109375,0.944091796875,,0.0,
-0.004150390625,0.003662109375,0.950439453125,,0.0,
-0.00146484375,-0.002197265625,0.937744140625,,0.0,
-0.001953125,0.003662109375,0.94384765625,,0.0,
-0.0048828125,0.003662109375,0.9443359375,,0.0,
