x, y
0.031088727227507308, 2.618245351304131
6.144686936516819, 3.7214526394608765
11.358266492569795, 4.67490328216648
16.915376484486725, 6.993635342568327
22.018591058882052, 8.583551728441284
27.414039669215942, 10.45800574067141
32.94938755207362, 11.54374142019219
38.26866878070012, 10.962186447023587
43.80090779083505, 13.260950954698616
48.697382329167446, 14.171970547859729
54.29646210284151, 14.261824535130414
59.58620904060188, 13.350804941969301
65.07803270534104, 13.807562710595283
70.3304731704284, 14.301759640584052
75.63887334452528, 14.89080244602521
81.17422122738296, 15.125421190565332
86.10178449294287, 13.737676276051417
91.45837219424237, 12.077873455634595
96.72635702294349, 12.639460876076377
99.9813467636635, 13.552976413328341
