x, y
-0.22532672374943669, 21.17894105294735
6.360429519354789, 29.311034448277585
11.368898696212957, 40.18049097545122
14.86379388043698, 45.67271636418179
17.020714518810898, 50.299985000749956
20.32602445960436, 58.91955402229888
22.489161007598952, 60.45947702614869
26.914888657518922, 55.66971651417429
32.96763065065034, 53.50232488375581
38.51377600969682, 42.92035398230088
42.75458034840174, 29.74601269936503
48.2867399108017, 25.226238688065596
53.57803297540054, 16.609169541522924
53.57803297540054, 16.609169541522924
59.56084598529938, 12.114394280285985
64.69207937716585, 9.224538773061346
69.84817640751504, 6.984650767461626
75.27466550636355, 5.207239638018098
80.7477739273671, 3.549822508874556
86.47884259762864, 3.0798460076996146
91.30860437289242, 3.8848057597120143
96.41652810368137, 3.1123443827808606
99.72183804447484, 2.5798710064496775
