x, y
0.33971250465552855, 1.410925230035494
4.744312731130532, 1.5465251000754014
9.093610921963938, 1.9420451550019313
13.61822032782445, 2.9449447363097465
17.24031556018705, 4.4789642425839995
20.41397523823139, 5.981597160494585
24.242230440196682, 7.084786699933182
28.579113888335034, 6.706676393239624
32.82570829869119, 5.558613840749846
36.81121690812714, 4.475040919038541
42.03782358274427, 3.6969968184298128
48.466403072836926, 3.2698449674180243
54.881439207262254, 3.013112482912087
60.76527483606897, 2.951810552514299
66.4579986682367, 3.176420825491795
72.79252707730623, 4.315901107725883
78.72865510716181, 5.41712898539175
83.91500791910103, 6.165502951687949
88.93470221546727, 6.582846493836092
94.19968173114182, 6.839088562898846
100.23174186364099, 6.889356145825033
