GYRO Sensor 0 X,GYRO Sensor 0 Y,GYRO Sensor 0 Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-8.068702697753906,11.206107139587402,-0.9312977194786072
-7.977099418640137,10.969465255737305,-0.9694656729698181
-8.015267372131348,10.900763511657715,-0.9389312863349915
-8.335877418518066,10.977099418640137,-1.0839694738388062
-7.786259651184082,11.274808883666992,-1.3282443284988403
-7.984732627868652,11.083969116210938,-0.8549618124961853
-7.717557430267334,11.22137451171875,-0.9465649127960205
-7.85496187210083,11.297709465026855,-0.8625954389572144
-8.297709465026855,11.190839767456055,-0.7938931584358215
-7.992366313934326,11.206107139587402,-0.8167939186096191
-7.58015251159668,11.007633209228516,-1.106870174407959
-8.015267372131348,11.732824325561523,-1.2366411685943604
-7.893129825592041,11.007633209228516,-0.732824444770813
-8.206107139587402,11.007633209228516,-0.7557252049446106
-7.961832046508789,11.076335906982422,-0.7251908183097839
-8.0,10.824427604675293,-0.9083969593048096
-8.045801162719727,11.374045372009277,-0.847328245639801
-7.923664093017578,10.969465255737305,-0.8702290058135986
-8.70992374420166,11.167939186096191,-1.0610686540603638
-8.167939186096191,10.984732627868652,-1.0458015203475952
-8.22137451171875,11.045801162719727,-1.2977099418640137
-8.274808883666992,11.152671813964844,-1.106870174407959
-8.076335906982422,11.167939186096191,-1.038167953491211
-8.22137451171875,10.992366790771484,-0.9083969593048096
-8.114503860473633,10.809160232543945,-0.8167939186096191
-7.961832046508789,11.404580116271973,-0.6488549709320068
-7.885496139526367,11.190839767456055,-1.0916030406951904
-8.251908302307129,11.12977123260498,-1.0076335668563843
-8.206107139587402,10.877862930297852,-0.7480915784835815
-8.305343627929688,11.038167953491211,-0.5954198241233826
-8.175572395324707,11.58015251159668,-0.7175572514533997
-8.282443046569824,11.145038604736328,-0.9618320465087891
-8.259541511535645,11.236640930175781,-0.8320610523223877
-8.114503860473633,11.244275093078613,-1.0610686540603638
-7.984732627868652,11.190839767456055,-0.5419847369194031
-7.893129825592041,11.190839767456055,-0.8931297659873962
-8.183206558227539,10.877862930297852,-1.0534350872039795
-7.923664093017578,11.274808883666992,-0.7633587718009949
-8.0,11.587786674499512,-0.5648854970932007
-8.076335906982422,11.076335906982422,-0.694656491279602
-8.099236488342285,11.312976837158203,-0.9312977194786072
-7.969465732574463,11.51145076751709,-0.6870229244232178
-8.213740348815918,11.0,-0.9312977194786072
-7.885496139526367,11.32824420928955,-0.9923664331436157
-8.335877418518066,10.702290534973145,-0.9389312863349915
-8.137404441833496,11.206107139587402,-0.9618320465087891
-8.427480697631836,11.274808883666992,-1.14503812789917
-8.015267372131348,11.206107139587402,-1.305343508720398
-8.267175674438477,11.206107139587402,-0.8778625726699829
-8.045801162719727,10.969465255737305,-0.9083969593048096
-7.900763511657715,11.442748069763184,-1.198473334312439
-8.183206558227539,11.274808883666992,-1.0687023401260376
-8.068702697753906,11.244275093078613,-0.8549618124961853
-8.083969116210938,11.114503860473633,-0.8702290058135986
-7.702290058135986,10.977099418640137,-1.0
-7.832061290740967,11.282443046569824,-1.0229008197784424
-8.213740348815918,10.732824325561523,-1.0534350872039795
-7.961832046508789,10.977099418640137,-1.1755725145339966
-7.969465732574463,10.931297302246094,-0.9847328066825867
-7.893129825592041,11.030534744262695,-0.8167939186096191
-7.923664093017578,11.366412162780762,-0.8625954389572144
-8.030534744262695,10.877862930297852,-1.1526718139648438
-7.877862453460693,10.862595558166504,-1.0534350872039795
-7.671755790710449,11.458015441894531,-1.1908396482467651
-8.106870651245117,11.114503860473633,-0.8702290058135986
-7.923664093017578,11.251908302307129,-1.160305380821228
-8.007633209228516,10.961832046508789,-1.0305343866348267
-7.885496139526367,11.015267372131348,-1.267175555229187
-7.847328186035156,10.824427604675293,-1.2900763750076294
-8.022900581359863,11.167939186096191,-1.4503816366195679
-7.541984558105469,11.435114860534668,-1.3816794157028198
