GYRO Sensor 0 X,GYRO Sensor 0 Y,GYRO Sensor 0 Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-10.236640930175781,3.3664121627807617,3.6183207035064697
-22.854961395263672,11.5496187210083,5.877862453460693
-24.083969116210938,13.320611000061035,4.641221523284912
-24.648855209350586,12.992366790771484,3.9770991802215576
-25.931297302246094,11.022900581359863,4.076335906982422
-22.045801162719727,13.068702697753906,2.641221284866333
-20.030534744262695,13.603053092956543,2.534351110458374
-20.267175674438477,11.816793441772461,2.85496187210083
-23.06106948852539,12.0,2.9541983604431152
-26.175573348999023,11.564885139465332,2.2748091220855713
-28.732824325561523,12.885496139526367,-0.05343511328101158
-30.076335906982422,14.099236488342285,-2.5190839767456055
-27.969465255737305,14.51145076751709,-5.381679534912109
-25.145038604736328,14.137404441833496,-7.740458011627197
-23.3435115814209,13.412213325500488,-9.458015441894531
-23.450382232666016,13.236640930175781,-10.526717185974121
-24.25954246520996,13.58015251159668,-12.244275093078613
-22.946565628051758,14.167939186096191,-10.694656372070312
-22.671754837036133,14.167939186096191,-8.984732627868652
-23.473281860351562,14.48854923248291,-8.748091697692871
-24.32061004638672,13.832060813903809,-10.076335906982422
-25.4427490234375,14.22137451171875,-12.053435325622559
-26.4427490234375,15.587786674499512,-14.832060813903809
-26.96183204650879,14.954198837280273,-16.97709846496582
-27.54198455810547,14.0,-18.916030883789062
-27.969465255737305,14.786259651184082,-20.18320655822754
-27.213741302490234,15.32824420928955,-20.671754837036133
-24.0,14.83969497680664,-22.190839767456055
-22.587785720825195,14.534351348876953,-23.389312744140625
-21.786258697509766,13.90839672088623,-24.732824325561523
-21.56488609313965,13.167939186096191,-26.664121627807617
-21.709922790527344,13.664122581481934,-28.916030883789062
-22.244274139404297,15.725191116333008,-29.60305404663086
-22.43511390686035,17.770992279052734,-30.274808883666992
-20.671754837036133,16.893129348754883,-30.717557907104492
-19.732824325561523,14.984732627868652,-30.954198837280273
-20.053434371948242,13.396946907043457,-31.51908302307129
-20.427480697631836,14.038167953491211,-33.28244400024414
-22.06106948852539,15.687023162841797,-34.67938995361328
-22.22137451171875,16.366413116455078,-35.106868743896484
-22.6564884185791,16.709922790527344,-34.488548278808594
-23.312976837158203,16.832061767578125,-33.92366409301758
-22.931297302246094,15.587786674499512,-32.8015251159668
-22.587785720825195,15.32824420928955,-31.625953674316406
-22.908397674560547,16.39694595336914,-30.229007720947266
-21.709922790527344,18.03816795349121,-28.946565628051758
-19.32061004638672,16.59541893005371,-28.22137451171875
-17.412214279174805,16.96183204650879,-26.664121627807617
-17.053434371948242,17.702289581298828,-25.25954246520996
-16.244274139404297,19.45801544189453,-22.045801162719727
-15.67175579071045,20.076335906982422,-21.02290153503418
-14.969465255737305,20.175573348999023,-19.725191116333008
-13.893129348754883,19.908397674560547,-18.732824325561523
-14.145038604736328,20.916030883789062,-17.96183204650879
-13.435114860534668,22.56488609313965,-17.206106185913086
-12.0,22.18320655822754,-16.0
-11.106870651245117,21.137405395507812,-13.465648651123047
-11.251908302307129,21.43511390686035,-10.816793441772461
