Percentage,theta_1,theta_2,tau_1,tau_2,X,Y,theta_1_2
0.0,0.8286461508123757,2.504841430458699,-0.21795120426287856,0.06904462877598053,-0.10449589999999986,0.24704334999999983,3.3334875812710747
0.3584229390681004,0.826465202686008,2.505438456401637,0.3903430740811518,-0.12266084663826446,-0.10391121249999989,0.2470280624999998,3.3319036590876454
0.7168458781362008,0.8251566338101874,2.5057966719674005,0.7552835029711147,-0.23617976084087347,-0.10356039999999991,0.2470188899999998,3.330953305777588
1.0752688172043012,0.8234118753090932,2.506274292721751,1.2418285803552,-0.385775615067925,-0.10309264999999992,0.24700665999999977,3.3296861680308445
1.4336917562724016,0.8216671168079991,2.5067519134761023,1.7283254735840108,-0.5333489954364868,-0.10262489999999995,0.2469944299999997,3.3284190302841017
1.792114695340502,0.8199223583069049,2.5072295342304534,2.214774182657545,-0.6788912151103768,-0.10215714999999997,0.2469821999999997,3.3271518925373584
2.1505376344086025,0.8219846970612306,2.509419132123376,2.6893470455304196,-0.8466255520937034,-0.10248572999999998,0.24588855999999976,3.3314038291846066
2.508960573476703,0.8240470358155563,2.5116087300162993,3.159611149648242,-1.0211292411636164,-0.10281430999999999,0.24479491999999983,3.335655765831855
2.8673835125448033,0.8261093745698819,2.513798327909222,3.6255664950110105,-1.2024343617841462,-0.10314288999999999,0.24370127999999988,3.339907702479104
3.225806451612904,0.8281717133242076,2.5159879258021447,4.087213081618727,-1.390572982788999,-0.10347146999999998,0.24260763999999996,3.344159639126352
3.584229390681004,0.8302340520785334,2.518177523695068,4.5445509094713925,-1.5855771533834682,-0.10380004999999998,0.241514,3.3484115757736013
3.9426523297491043,0.831135166070012,2.517639600273253,5.039660517206454,-1.7604962561716575,-0.10406347999999999,0.24163586,3.348774766343265
4.301075268817205,0.8320362800614909,2.5171016768514383,5.535267192124342,-1.9360022439748346,-0.10432690999999998,0.24175771999999998,3.3491379569129287
4.6594982078853056,0.8329373940529695,2.5165637534296232,6.0313709342250394,-2.112091847568792,-0.10459033999999998,0.24187957999999998,3.3495011474825924
5.017921146953406,0.8338385080444481,2.516025830007808,6.527971743508556,-2.2887618071110403,-0.10485376999999999,0.24200143999999996,3.3498643380522566
5.376344086021506,0.8347396220359269,2.515487906585993,7.0250696199749,-2.4660088721183135,-0.10511719999999997,0.24212329999999993,3.35022752862192
5.734767025089607,0.837018701929179,2.511519121356939,7.5608037599261,-2.618421680834173,-0.10600729999999996,0.24347331999999994,3.348537823286118
6.093189964157707,0.8392977818224312,2.5075503361278844,8.102044634147344,-2.7680025423288606,-0.10689739999999995,0.2448233399999999,3.346848117950316
6.451612903225808,0.8415768617156832,2.50358155089883,8.648792242638644,-2.914737072715928,-0.10778749999999993,0.24617335999999987,3.3451584126145137
6.810035842293908,0.8438559416089353,2.4996127656697755,9.201046585399988,-3.05861107758353,-0.1086775999999999,0.2475233799999999,3.3434687072787113
7.168458781362008,0.8461350215021874,2.4956439804407213,9.758807662431382,-3.1996105456839325,-0.10956769999999988,0.24887339999999986,3.3417790019429088
7.526881720430109,0.8467707021288661,2.495211465780836,9.908438718236656,-3.250586240070089,-0.1097614499999999,0.24897735999999987,3.341982167909702
7.885304659498209,0.8474063827555447,2.49477895112095,10.05819132609348,-3.3016471035678885,-0.10995519999999992,0.24908131999999988,3.3421853338764946
8.24372759856631,0.8480420633822232,2.494346436461064,10.208065486001862,-3.352792678028224,-0.11014894999999995,0.24918527999999993,3.3423884998432873
8.60215053763441,0.848677744008902,2.493913921801179,10.358061197961808,-3.404022506347936,-0.11034269999999999,0.24928923999999997,3.342591665810081
8.96057347670251,0.8493134246355805,2.493481407141293,10.508178461973314,-3.4553361324673215,-0.11053645000000001,0.24939319999999998,3.3427948317768736
9.318996415770611,0.8502871843031073,2.492810564178539,10.660867673924908,-3.5085344434095136,-0.11083490999999998,0.24955451999999995,3.3430977484816458
9.67741935483871,0.8512609439706343,2.4921397212157843,10.813745504354374,-3.561848945040782,-0.11113336999999998,0.2497158399999999,3.3434006651864188
10.035842293906812,0.8522347036381612,2.4914688782530297,10.966811953261677,-3.6152785900476974,-0.11143182999999998,0.24987715999999988,3.343703581891191
10.394265232974913,0.8532084633056882,2.4907980352902754,11.120067020646832,-3.6688223348274933,-0.11173028999999997,0.25003847999999984,3.344006498595964
10.752688172043012,0.8541822229732152,2.4901271923275208,11.273510706509827,-3.722479139473987,-0.11202874999999995,0.25019979999999975,3.344309415300736
11.111111111111112,0.8552011831112812,2.4892628317922325,11.268953768337957,-3.7203828093328912,-0.11235582999999996,0.25043220999999977,3.344464014903514
11.469534050179213,0.8562201432493473,2.4883984712569442,11.264368935503853,-3.718245980934771,-0.11268290999999997,0.2506646199999998,3.3446186145062917
11.827956989247314,0.8572391033874134,2.4875341107216564,11.259756208007538,-3.7160688985091883,-0.11300998999999998,0.25089702999999985,3.3447732141090696
12.186379928315414,0.8582580635254791,2.486669750186368,11.255115585849,-3.713851805163428,-0.11333707,0.25112943999999987,3.344927813711847
12.544802867383515,0.8592770236635452,2.48580538965108,11.25044706902825,-3.7115949428882953,-0.11366415000000002,0.25136184999999994,3.345082413314625
12.903225806451616,0.8617939578021175,2.4839400737081254,11.255848374126904,-3.718703413590199,-0.11445561000000004,0.25182016999999995,3.3457340315102435
13.261648745519716,0.8643108919406901,2.4820747577651723,11.26119467005391,-3.725586379071575,-0.11524707000000003,0.25227848999999997,3.346385649705862
13.620071684587815,0.8668278260792626,2.4802094418222183,11.266485956809223,-3.732246012088281,-0.11603853000000006,0.2527368099999999,3.347037267901481
