Time,theta_1,theta_2,tau_1,tau_2,X,Y,theta_1_2
0.0,0.8286461508123757,2.504841430458699,0.04559025556104992,0.020458661061441657,-0.1044958999999998,0.2470433499999998,3.3334875812710747
0.3584229390681004,0.826465202686008,2.505438456401637,-0.058108438212311916,-0.00017545679620454101,-0.10391121249999982,0.24702806249999978,3.3319036590876454
0.7168458781362008,0.8251566338101874,2.5057966719674005,-0.12032765447632902,-0.01255592751079226,-0.10356039999999984,0.24701888999999974,3.330953305777588
1.0752688172043012,0.8234118753090932,2.506274292721751,-0.20328660949501848,-0.029063221796909223,-0.10309264999999986,0.24700665999999974,3.3296861680308445
1.4336917562724016,0.8216671168079991,2.5067519134761023,-0.2862455645137079,-0.04557051608302618,-0.10262489999999988,0.2469944299999997,3.3284190302841017
1.792114695340502,0.8199223583069049,2.5072295342304534,-0.3692045195323974,-0.062077810369143144,-0.1021571499999999,0.2469821999999997,3.3271518925373584
2.1505376344086025,0.8219846970612306,2.509419132123376,-0.4484889541015503,-0.07566370225777727,-0.1024857299999999,0.24588855999999976,3.3314038291846066
2.508960573476703,0.8240470358155563,2.5116087300162993,-0.5277733886707033,-0.08924959414641141,-0.1028143099999999,0.24479491999999983,3.335655765831855
2.8673835125448033,0.8261093745698819,2.513798327909222,-0.6070578232398562,-0.10283548603504557,-0.1031428899999999,0.24370127999999988,3.339907702479104
3.225806451612904,0.8281717133242076,2.5159879258021447,-0.6863422578090091,-0.11642137792367971,-0.1034714699999999,0.24260763999999996,3.344159639126352
3.584229390681004,0.8302340520785334,2.518177523695068,-0.7656266923781622,-0.13000726981231384,-0.1038000499999999,0.241514,3.3484115757736013
3.9426523297491043,0.831135166070012,2.517639600273253,-0.8497338206492973,-0.1449593800898954,-0.1040634799999999,0.24163585999999998,3.348774766343265
4.301075268817205,0.8320362800614909,2.5171016768514383,-0.9338409489204326,-0.15991149036747695,-0.1043269099999999,0.24175771999999998,3.3491379569129287
4.6594982078853056,0.8329373940529695,2.5165637534296232,-1.0179480771915679,-0.17486360064505851,-0.10459033999999989,0.24187957999999993,3.3495011474825924
5.017921146953406,0.8338385080444481,2.516025830007808,-1.102055205462703,-0.18981571092264005,-0.10485376999999989,0.2420014399999999,3.3498643380522566
5.376344086021506,0.8347396220359269,2.515487906585993,-1.186162333733838,-0.2047678212002216,-0.1051171999999999,0.2421232999999999,3.35022752862192
5.734767025089607,0.837018701929179,2.511519121356939,-1.2787591585537061,-0.22406072959395013,-0.10600729999999987,0.24347331999999988,3.348537823286118
6.093189964157707,0.8392977818224312,2.5075503361278844,-1.3713559833735744,-0.24335363798767856,-0.10689739999999985,0.24482333999999986,3.346848117950316
6.451612903225808,0.8415768617156832,2.50358155089883,-1.4639528081934423,-0.262646546381407,-0.10778749999999984,0.24617335999999984,3.3451584126145137
6.810035842293908,0.8438559416089353,2.4996127656697755,-1.5565496330133104,-0.28193945477513555,-0.10867759999999982,0.2475233799999998,3.3434687072787113
7.168458781362008,0.8461350215021874,2.4956439804407213,-1.6491464578331785,-0.301232363168864,-0.1095676999999998,0.2488733999999998,3.3417790019429088
7.526881720430109,0.8467707021288661,2.495211465780836,-1.672938957636131,-0.30355856802649606,-0.10976144999999984,0.24897735999999981,3.341982167909702
7.885304659498209,0.8474063827555447,2.49477895112095,-1.6967314574390842,-0.3058847728841282,-0.10995519999999988,0.24908131999999986,3.3421853338764946
8.24372759856631,0.8480420633822232,2.494346436461064,-1.7205239572420363,-0.3082109777417603,-0.11014894999999991,0.24918527999999984,3.3423884998432873
8.60215053763441,0.848677744008902,2.493913921801179,-1.7443164570449896,-0.31053718259939245,-0.11034269999999995,0.24928923999999988,3.342591665810081
8.96057347670251,0.8493134246355805,2.493481407141293,-1.768108956847942,-0.3128633874570246,-0.11053645,0.2493931999999999,3.3427948317768736
9.318996415770611,0.8502871843031073,2.492810564178539,-1.7923570869614263,-0.31521135447646065,-0.11083490999999997,0.24955451999999986,3.3430977484816458
9.67741935483871,0.8512609439706343,2.4921397212157843,-1.8166052170749107,-0.3175593214958967,-0.11113336999999997,0.24971583999999983,3.3434006651864188
10.035842293906812,0.8522347036381612,2.4914688782530297,-1.8408533471883952,-0.3199072885153328,-0.11143182999999994,0.24987715999999977,3.343703581891191
10.394265232974913,0.8532084633056882,2.4907980352902754,-1.8651014773018795,-0.32225525553476886,-0.11173028999999993,0.25003847999999973,3.344006498595964
10.752688172043012,0.8541822229732152,2.4901271923275208,-1.8893496074153637,-0.324603222554205,-0.1120287499999999,0.2501997999999997,3.344309415300736
11.111111111111112,0.8552011831112812,2.4892628317922325,-1.883987997436165,-0.3180415870709215,-0.1123558299999999,0.2504322099999997,3.344464014903514
11.469534050179213,0.8562201432493473,2.4883984712569442,-1.878626387456966,-0.31147995158763797,-0.11268290999999993,0.2506646199999998,3.3446186145062917
11.827956989247314,0.8572391033874134,2.4875341107216564,-1.8732647774777667,-0.3049183161043545,-0.11300998999999996,0.2508970299999998,3.3447732141090696
12.186379928315414,0.8582580635254791,2.486669750186368,-1.8679031674985682,-0.29835668062107096,-0.11333706999999997,0.25112943999999987,3.344927813711847
12.544802867383515,0.8592770236635452,2.48580538965108,-1.862541557519369,-0.2917950451377875,-0.11366415,0.2513618499999999,3.345082413314625
12.903225806451616,0.8617939578021175,2.4839400737081254,-1.8583231126391047,-0.28512297600997744,-0.11445561,0.2518201699999999,3.3457340315102435
13.261648745519716,0.8643108919406901,2.4820747577651723,-1.8541046677588404,-0.27845090688216745,-0.11524707000000001,0.25227848999999986,3.346385649705862
